DATE,CSUSHPISA
01-01-2004,141.647
01-02-2004,143.192
01-03-2004,145.058
01-04-2004,146.592
01-05-2004,148.186
01-06-2004,149.851
01-07-2004,151.338
01-08-2004,152.634
01-09-2004,154.18
01-10-2004,155.752
01-11-2004,157.528
01-12-2004,159.331
01-01-2005,161.289
01-02-2005,163.344
01-03-2005,165.813
01-04-2005,167.502
01-05-2005,169.351
01-06-2005,171.191
01-07-2005,172.86
01-08-2005,174.442
01-09-2005,176.437
01-10-2005,178.027
01-11-2005,179.68
01-12-2005,180.91
01-01-2006,182.32
01-02-2006,183.287
01-03-2006,184.365
01-04-2006,184.328
01-05-2006,184.155
01-06-2006,183.507
01-07-2006,183.066
01-08-2006,182.593
01-09-2006,182.798
01-10-2006,183.197
01-11-2006,183.608
01-12-2006,184.138
01-01-2007,184.516
01-02-2007,184.598
01-03-2007,184.15
01-04-2007,183.01
01-05-2007,181.6
01-06-2007,180.253
01-07-2007,179.11
01-08-2007,178.116
01-09-2007,177.557
01-10-2007,176.623
01-11-2007,175.146
01-12-2007,174.341
01-01-2008,173.131
01-02-2008,171.539
01-03-2008,170.052
01-04-2008,168.337
01-05-2008,166.658
01-06-2008,165.016
01-07-2008,163.564
01-08-2008,161.986
01-09-2008,160.307
01-10-2008,158.326
01-11-2008,156.141
01-12-2008,153.618
01-01-2009,151.506
01-02-2009,150.014
01-03-2009,148.659
01-04-2009,147.947
01-05-2009,147.693
01-06-2009,148.088
01-07-2009,148.408
01-08-2009,148.277
01-09-2009,148.024
01-10-2009,147.85
01-11-2009,148.136
01-12-2009,147.93
01-01-2010,147.396
01-02-2010,145.631
01-03-2010,145.858
01-04-2010,146.401
01-05-2010,146.392
01-06-2010,145.719
01-07-2010,144.987
01-08-2010,143.912
01-09-2010,143.015
01-10-2010,142.526
01-11-2010,142.167
01-12-2010,142.054
01-01-2011,141.516
01-02-2011,140.343
01-03-2011,139.975
01-04-2011,140.007
01-05-2011,139.903
01-06-2011,139.86
01-07-2011,139.728
01-08-2011,139.308
01-09-2011,138.667
01-10-2011,137.951
01-11-2011,137.15
01-12-2011,136.672
01-01-2012,136.606
01-02-2012,136.531
01-03-2012,137.902
01-04-2012,139.151
01-05-2012,140.152
01-06-2012,141.028
01-07-2012,141.669
01-08-2012,142.278
01-09-2012,142.906
01-10-2012,143.597
01-11-2012,144.58
01-12-2012,145.497
01-01-2013,146.823
01-02-2013,147.781
01-03-2013,149.96
01-04-2013,151.517
01-05-2013,152.849
01-06-2013,154.199
01-07-2013,155.604
01-08-2013,156.961
01-09-2013,158.223
01-10-2013,159.239
01-11-2013,160.073
01-12-2013,160.992
01-01-2014,161.923
01-02-2014,162.521
01-03-2014,163.081
01-04-2014,163.387
01-05-2014,163.655
01-06-2014,164.065
01-07-2014,164.585
01-08-2014,165.211
01-09-2014,165.901
01-10-2014,166.637
01-11-2014,167.331
01-12-2014,168.045
01-01-2015,168.625
01-02-2015,169.122
01-03-2015,169.793
01-04-2015,170.292
01-05-2015,170.875
01-06-2015,171.476
01-07-2015,172.146
01-08-2015,172.93
01-09-2015,173.823
01-10-2015,174.787
01-11-2015,175.733
01-12-2015,176.536
01-01-2016,177.261
01-02-2016,177.639
01-03-2016,178.156
01-04-2016,178.757
01-05-2016,179.419
01-06-2016,180.088
01-07-2016,180.847
01-08-2016,181.836
01-09-2016,182.81
01-10-2016,183.738
01-11-2016,184.748
01-12-2016,185.71
01-01-2017,186.792
01-02-2017,187.31
01-03-2017,187.988
01-04-2017,188.719
01-05-2017,189.607
01-06-2017,190.516
01-07-2017,191.462
01-08-2017,192.646
01-09-2017,193.741
01-10-2017,194.788
01-11-2017,195.941
01-12-2017,197.161
01-01-2018,198.301
01-02-2018,199.228
01-03-2018,199.966
01-04-2018,200.661
01-05-2018,201.424
01-06-2018,202.239
01-07-2018,202.91
01-08-2018,203.656
01-09-2018,204.313
01-10-2018,205.079
01-11-2018,205.652
01-12-2018,206.142
01-01-2019,206.535
01-02-2019,206.86
01-03-2019,207.08
01-04-2019,207.533
01-05-2019,208.15
01-06-2019,208.644
01-07-2019,209.249
01-08-2019,210.023
01-09-2019,210.836
01-10-2019,211.729
01-11-2019,212.771
01-12-2019,213.938
01-01-2020,215.031
01-02-2020,215.897
01-03-2020,216.457
01-04-2020,216.858
01-05-2020,216.999
01-06-2020,217.577
01-07-2020,219.287
01-08-2020,222.26
01-09-2020,225.723
01-10-2020,229.649
01-11-2020,233.218
01-12-2020,236.542
01-01-2021,239.68
01-02-2021,242.428
01-03-2021,245.541
01-04-2021,249.125
01-05-2021,253.419
01-06-2021,258.246
01-07-2021,262.616
01-08-2021,266.582
01-09-2021,270.166
01-10-2021,273.546
01-11-2021,277.262
01-12-2021,281.486
01-01-2022,286.172
01-02-2022,291.242
01-03-2022,296.512
01-04-2022,300.584
01-05-2022,303.704
01-06-2022,304.468
01-07-2022,303.505
01-08-2022,301.029
01-09-2022,299.006
01-10-2022,298.612
01-11-2022,298.332
01-12-2022,297.628
01-01-2023,297.43
01-02-2023,297.739
01-03-2023,298.796
01-04-2023,300.262
01-05-2023,302.489
01-06-2023,304.343
01-07-2023,306.451
01-08-2023,308.83
01-09-2023,310.894
01-10-2023,312.756
01-11-2023,313.632
01-12-2023,314.443
01-01-2024,315.728
,
,
,
