DATE,IR3TIB01USM156N
01-01-2004,1.06
01-02-2004,1.05
01-03-2004,1.05
01-04-2004,1.08
01-05-2004,1.2
01-06-2004,1.46
01-07-2004,1.57
01-08-2004,1.68
01-09-2004,1.86
01-10-2004,2.04
01-11-2004,2.26
01-12-2004,2.45
01-01-2005,2.61
01-02-2005,2.77
01-03-2005,2.97
01-04-2005,3.09
01-05-2005,3.22
01-06-2005,3.38
01-07-2005,3.57
01-08-2005,3.77
01-09-2005,3.87
01-10-2005,4.13
01-11-2005,4.31
01-12-2005,4.45
01-01-2006,4.56
01-02-2006,4.72
01-03-2006,4.88
01-04-2006,5.03
01-05-2006,5.15
01-06-2006,5.35
01-07-2006,5.46
01-08-2006,5.38
01-09-2006,5.34
01-10-2006,5.33
01-11-2006,5.32
01-12-2006,5.32
01-01-2007,5.32
01-02-2007,5.31
01-03-2007,5.3
01-04-2007,5.31
01-05-2007,5.31
01-06-2007,5.33
01-07-2007,5.32
01-08-2007,5.49
01-09-2007,5.46
01-10-2007,5.08
01-11-2007,4.97
01-12-2007,5.02
01-01-2008,3.84
01-02-2008,3.06
01-03-2008,2.79
01-04-2008,2.85
01-05-2008,2.66
01-06-2008,2.76
01-07-2008,2.79
01-08-2008,2.79
01-09-2008,3.59
01-10-2008,4.32
01-11-2008,2.36
01-12-2008,1.77
01-01-2009,1.02
01-02-2009,1.16
01-03-2009,1.07
01-04-2009,0.89
01-05-2009,0.57
01-06-2009,0.39
01-07-2009,0.35
01-08-2009,0.3
01-09-2009,0.25
01-10-2009,0.24
01-11-2009,0.21
01-12-2009,0.22
01-01-2010,0.2
01-02-2010,0.19
01-03-2010,0.23
01-04-2010,0.3
01-05-2010,0.45
01-06-2010,0.52
01-07-2010,0.41
01-08-2010,0.32
01-09-2010,0.28
01-10-2010,0.27
01-11-2010,0.27
01-12-2010,0.3
01-01-2011,0.29
01-02-2011,0.28
01-03-2011,0.28
01-04-2011,0.23
01-05-2011,0.21
01-06-2011,0.22
01-07-2011,0.24
01-08-2011,0.29
01-09-2011,0.33
01-10-2011,0.37
01-11-2011,0.41
01-12-2011,0.49
01-01-2012,0.4
01-02-2012,0.3
01-03-2012,0.29
01-04-2012,0.29
01-05-2012,0.29
01-06-2012,0.32
01-07-2012,0.3
01-08-2012,0.26
01-09-2012,0.24
01-10-2012,0.23
01-11-2012,0.23
01-12-2012,0.24
01-01-2013,0.23
01-02-2013,0.22
01-03-2013,0.21
01-04-2013,0.2
01-05-2013,0.2
01-06-2013,0.19
01-07-2013,0.14
01-08-2013,0.12
01-09-2013,0.11
01-10-2013,0.12
01-11-2013,0.12
01-12-2013,0.14
01-01-2014,0.12
01-02-2014,0.13
01-03-2014,0.12
01-04-2014,0.12
01-05-2014,0.11
01-06-2014,0.11
01-07-2014,0.13
01-08-2014,0.13
01-09-2014,0.12
01-10-2014,0.12
01-11-2014,0.13
01-12-2014,0.15
01-01-2015,0.16
01-02-2015,0.15
01-03-2015,0.14
01-04-2015,0.13
01-05-2015,0.15
01-06-2015,0.18
01-07-2015,0.19
01-08-2015,0.26
01-09-2015,0.27
01-10-2015,0.25
01-11-2015,0.3
01-12-2015,0.54
01-01-2016,0.57
01-02-2016,0.54
01-03-2016,0.55
01-04-2016,0.55
01-05-2016,0.57
01-06-2016,0.55
01-07-2016,0.62
01-08-2016,0.73
01-09-2016,0.75
01-10-2016,0.72
01-11-2016,0.71
01-12-2016,0.87
01-01-2017,0.9
01-02-2017,0.87
01-03-2017,0.98
01-04-2017,1.03
01-05-2017,1.05
01-06-2017,1.16
01-07-2017,1.22
01-08-2017,1.25
01-09-2017,1.25
01-10-2017,1.26
01-11-2017,1.32
01-12-2017,1.54
01-01-2018,1.63
01-02-2018,1.78
01-03-2018,2.08
01-04-2018,2.2
01-05-2018,2.16
01-06-2018,2.19
01-07-2018,2.17
01-08-2018,2.19
01-09-2018,2.24
01-10-2018,2.37
01-11-2018,2.56
01-12-2018,2.69
01-01-2019,2.59
01-02-2019,2.49
01-03-2019,2.48
01-04-2019,2.47
01-05-2019,2.44
01-06-2019,2.3
01-07-2019,2.22
01-08-2019,2.06
01-09-2019,2.03
01-10-2019,1.88
01-11-2019,1.77
01-12-2019,1.76
01-01-2020,1.65
01-02-2020,1.59
01-03-2020,1.35
01-04-2020,0.45
01-05-2020,0.17
01-06-2020,0.2
01-07-2020,0.18
01-08-2020,0.15
01-09-2020,0.13
01-10-2020,0.12
01-11-2020,0.16
01-12-2020,0.17
01-01-2021,0.14
01-02-2021,0.11
01-03-2021,0.1
01-04-2021,0.11
01-05-2021,0.1
01-06-2021,0.09
01-07-2021,0.1
01-08-2021,0.1
01-09-2021,0.1
01-10-2021,0.11
01-11-2021,0.14
01-12-2021,0.17
01-01-2022,0.22
01-02-2022,0.38
01-03-2022,0.73
01-04-2022,0.91
01-05-2022,1.33
01-06-2022,1.87
01-07-2022,2.5
01-08-2022,2.76
01-09-2022,3.21
01-10-2022,3.85
01-11-2022,4.46
01-12-2022,4.51
01-01-2023,4.61
01-02-2023,4.74
01-03-2023,4.91
01-04-2023,5.03
01-05-2023,5.15
01-06-2023,5.22
01-07-2023,5.35
01-08-2023,5.44
01-09-2023,5.49
01-10-2023,5.46
01-11-2023,5.41
01-12-2023,5.32
01-01-2024,5.26
